T_W1,T_W2,T_W3,T_W4
1100,1100,1100,1100
1101.57415072871,1101.57415072865,1101.57415072863,1101.57415072863
1101.43186760792,1101.43186760793,1101.43186760805,1101.43186760805
1117.1087602345,1117.10876023494,1117.10876023493,1117.10876023493
1123.44042214214,1123.44042214192,1123.44042214159,1123.44042214159
1129.92973681428,1129.9297368143,1129.92973681423,1129.92973681423
1134.14170422925,1134.14170422926,1134.14170422918,1134.14170422918
1137.53329454378,1137.53329454419,1137.53329454444,1137.53329454444
1139.90342305244,1139.90342305227,1139.90342305139,1139.90342305139
1141.81695140497,1141.81695140455,1141.8169514047,1141.8169514047
1143.35220418604,1143.17636755521,1143.17636755511,1143.17636755511
1144.57196030488,1144.0893049314,1144.08930493108,1144.08930493108
1145.74603822494,1144.88975008619,1144.88975008595,1144.88975008595
1146.73043410037,1145.45014150381,1145.45014150355,1145.45014150355
1147.60835433228,1145.87701759171,1145.87701759145,1145.87701759145
1148.40232191559,1146.19803268353,1146.19803268329,1146.19803268329
1149.11838842496,1146.43650928564,1146.43650928542,1146.43650928542
1149.81352844743,1146.631125586,1146.6311255858,1146.6311255858
1150.43659989927,1146.77062035899,1146.77062035883,1146.77062035883
1151.05271255681,1146.88753673344,1146.88753673328,1146.88753673328
1151.63382318386,1146.97745590075,1146.97745590063,1146.97745590063
1152.20706553072,1147.05279411378,1147.05279411367,1147.05279411367
1152.75648573101,1147.11313376598,1147.11313376589,1147.11313376589
1153.30235111344,1147.16487226103,1147.16487226095,1147.16487226095
1153.82547525103,1147.20738428425,1147.20738428419,1147.20738428419
1154.3483495509,1147.2449457002,1147.24494570014,1147.24494570014
1154.87684018576,1147.27876112667,1147.27876112662,1147.27876112662
1155.363525377,1147.30642496943,1147.30642496939,1147.30642496939
1155.87122417814,1147.33292424808,1147.33292424804,1147.33292424804
1156.35445382378,1147.35601723643,1147.3560172364,1147.3560172364
1156.83863768569,1147.37752515132,1147.3775251513,1147.3775251513
1157.31433471168,1147.39743949401,1147.39743949399,1147.39743949399
1157.7849940033,1147.41588391034,1147.41588391032,1147.41588391032
1158.251597401,1147.43333955892,1147.43333955891,1147.43333955891
1158.71580835962,1147.44989736241,1147.44989736241,1147.44989736241
1159.1757126057,1147.46562212893,1147.46562212893,1147.46562212893
1159.63260566649,1147.48063813295,1147.48063813294,1147.48063813294
1160.08574440962,1147.49499361498,1147.49499361498,1147.49499361498
1160.53559572002,1147.50875973393,1147.50875973393,1147.50875973393
1160.98197013467,1147.52197773429,1147.5219777343,1147.5219777343
1161.42506421883,1147.53469244911,1147.53469244911,1147.53469244911
1161.86486800523,1147.54693647277,1147.54693647277,1147.54693647277
1162.30149451264,1147.55874106366,1147.55874106366,1147.55874106366
1162.73499053834,1147.57013177203,1147.57013177203,1147.57013177203
1163.16544108415,1147.58113210017,1147.58113210017,1147.58113210017
1163.59290871866,1147.59176246194,1147.59176246194,1147.59176246194
1164.01746664211,1147.60204150451,1147.60204150451,1147.60204150451
1164.43917923764,1147.61198597006,1147.61198597006,1147.61198597006
1164.85811255479,1147.6216112324,1147.6216112324,1147.6216112324
1165.27432810235,1147.63093136774,1147.63093136774,1147.63093136774
1165.68788621536,1147.63995940749,1147.6399594075,1147.6399594075
1166.09915209395,1147.6487011383,1147.6487011383,1147.6487011383
1166.50734849205,1147.65717560939,1147.65717560937,1147.65717560937
1166.91391245902,1147.66540816685,1147.66540816684,1147.66540816684
