,AGE_00,AGE_10,AGE_20,AGE_30,AGE_40,AGE_50
PGA_00,5.81E-12,9.13E-12,1.44E-11,2.27E-11,3.59E-11,5.67E-11
PGA_01,1.41E-09,2.09E-09,3.12E-09,4.66E-09,6.96E-09,1.04E-08
PGA_02,9.73E-08,1.38E-07,1.97E-07,2.80E-07,3.98E-07,5.65E-07
PGA_03,2.70E-06,3.67E-06,5.01E-06,6.84E-06,9.31E-06,1.27E-05
PGA_04,3.76E-05,4.93E-05,6.48E-05,8.51E-05,0.000111477,0.000145858
PGA_05,0.000307931,0.000390961,0.000496774,0.000630143,0.000797886,0.001008397
PGA_06,0.001665048,0.002051798,0.002528994,0.003111035,0.003819207,0.004678629
PGA_07,0.006470398,0.007760681,0.009306039,0.011134839,0.01329304,0.0158326
PGA_08,0.019282467,0.022568006,0.026396177,0.030801583,0.035855641,0.041635325
PGA_09,0.04634627,0.053052785,0.060669372,0.069209473,0.078752923,0.08938052
PGA_10,0.093495774,0.104899772,0.117545252,0.131383864,0.146473468,0.162865624
PGA_11,0.163452187,0.180107951,0.198167578,0.217486449,0.238072731,0.259922156
PGA_12,0.2541726,0.275586917,0.298321932,0.322127212,0.346951457,0.372729148
PGA_13,0.359198866,0.383925699,0.409660888,0.436069123,0.463051681,0.490498824
PGA_14,0.469648816,0.495716166,0.522341425,0.549146501,0.576011331,0.602811139
PGA_15,0.576696094,0.602129485,0.627648613,0.652879534,0.677708634,0.702024196
PGA_16,0.673470936,0.696699853,0.719616115,0.741887627,0.7634272,0.78415433
PGA_17,0.755908609,0.775959002,0.795423659,0.814033916,0.831737623,0.848491444
PGA_18,0.822648544,0.839137727,0.854901453,0.869740157,0.883635445,0.896577514
PGA_19,0.8743742,0.887383303,0.899639178,0.911005472,0.921490255,0.931108471
