,AGE_0,AGE_10,AGE_20,AGE_30,AGE_40,AGE_50
PGA_00,0,0,0,0,0,0
PGA_01,8.77541778532452e-10,2.35885522094826e-10,2.00743593646249e-08,0.001225983,0.214350807,0.214350807
PGA_02,0.000871425,0.000418734,0.00463297,0.443897947,0.981989834,0.981989834
PGA_03,0.074730332,0.04940334,0.180714603,0.939230278,0.999923496,0.999923496
PGA_04,0.404094181,0.325637641,0.612572491,0.996993022,0.99999969,0.99999969
PGA_05,0.753958943,0.683594303,0.887968481,0.999881904,0.999999998,0.999999998
PGA_06,0.926005893,0.892039354,0.975892475,0.999995427,1,1
PGA_07,0.981644726,0.969928321,0.995574582,0.99999981,1,1
PGA_08,0.99591967,0.992577162,0.999248603,0.999999991,1,1
PGA_09,0.999143981,0.998288121,0.999876285,1,1,1
PGA_10,0.999824962,0.99961851,0.999979689,1,1,1
PGA_11,0.9999644,0.999916061,0.999996619,1,1,1
PGA_12,0.999992705,0.999981508,0.999999424,1,1,1
PGA_13,0.999998481,0.999995884,0.999999899,1,1,1
PGA_14,0.999999677,0.999999069,0.999999982,1,1,1
PGA_15,0.99999993,0.999999785,0.999999997,1,1,1
PGA_16,0.999999984,0.999999949,0.999999999,1,1,1
PGA_17,0.999999996,0.999999988,1,1,1,1
PGA_18,0.999999999,0.999999997,1,1,1,1
PGA_19,1,0.999999999,1,1,1,1
