,AGE_00,AGE_10,AGE_20,AGE_30,AGE_40,AGE_50
PGA_00,0,0,0,0,0,0
PGA_01,0,0,0,0,0,0
PGA_02,1.11E-16,1.11E-16,2.22E-16,2.22E-16,3.33E-16,5.55E-16
PGA_03,1.84E-14,2.52E-14,3.46E-14,4.75E-14,6.53E-14,8.98E-14
PGA_04,1.45E-12,1.94E-12,2.60E-12,3.49E-12,4.68E-12,6.28E-12
PGA_05,5.68E-11,7.43E-11,9.75E-11,1.28E-10,1.68E-10,2.20E-10
PGA_06,1.27E-09,1.63E-09,2.10E-09,2.70E-09,3.47E-09,4.47E-09
PGA_07,1.81E-08,2.28E-08,2.88E-08,3.64E-08,4.59E-08,5.80E-08
PGA_08,1.77E-07,2.20E-07,2.73E-07,3.39E-07,4.21E-07,5.22E-07
PGA_09,1.27E-06,1.55E-06,1.90E-06,2.32E-06,2.84E-06,3.47E-06
PGA_10,7.04E-06,8.47E-06,1.02E-05,1.23E-05,1.48E-05,1.78E-05
PGA_11,3.12E-05,3.71E-05,4.41E-05,5.24E-05,6.22E-05,7.39E-05
PGA_12,0.000114553,0.000134398,0.000157848,0.000185188,0.000217237,0.00025467
PGA_13,0.000357534,0.000414634,0.000481271,0.000557998,0.00064681,0.000749233
PGA_14,0.000969933,0.001112656,0.001277274,0.001464586,0.001678827,0.001922952
PGA_15,0.002329682,0.002645293,0.003005296,0.003410352,0.003868435,0.004384502
PGA_16,0.005032081,0.005659106,0.006366812,0.007154637,0.008036082,0.00901841
PGA_17,0.00990485,0.011038707,0.01230566,0.013701801,0.015247972,0.016953446
PGA_18,0.017968959,0.019856118,0.021944692,0.024224069,0.02672392,0.029454389
PGA_19,0.030339986,0.033258718,0.036459546,0.039920663,0.043681418,0.047750781
