,AGE_00,AGE_10,AGE_20,AGE_30,AGE_40,AGE_50
PGA_00,1.11E-43,2.99E-43,8.25E-43,2.30E-42,6.53E-42,1.88E-41
PGA_01,1.32E-20,2.57E-20,5.08E-20,1.01E-19,2.02E-19,4.08E-19
PGA_02,6.05E-13,1.02E-12,1.72E-12,2.92E-12,4.98E-12,8.52E-12
PGA_03,5.91E-09,8.99E-09,1.37E-08,2.11E-08,3.24E-08,4.98E-08
PGA_04,1.62E-06,2.29E-06,3.25E-06,4.61E-06,6.56E-06,9.33E-06
PGA_05,6.70E-05,8.94E-05,0.000119637,0.000160045,0.000214169,0.000286404
PGA_06,0.000895475,0.001140048,0.00145344,0.001851488,0.002357246,0.002996948
PGA_07,0.005758311,0.007047365,0.008629017,0.010550806,0.012884768,0.015704127
PGA_08,0.022475841,0.02659797,0.031467477,0.037159186,0.043803864,0.051513927
PGA_09,0.061577368,0.070796214,0.081325542,0.093215975,0.106618432,0.121623682
PGA_10,0.130368315,0.146199752,0.163741524,0.182946324,0.2039203,0.226659278
PGA_11,0.22795373,0.25021184,0.274204096,0.299741294,0.326841862,0.355376524
PGA_12,0.345249006,0.372060908,0.400240847,0.429470908,0.459685039,0.490657011
PGA_13,0.46910959,0.497714515,0.527086189,0.556835028,0.586847812,0.61686197
PGA_14,0.587156853,0.614863107,0.642702892,0.670283213,0.697488044,0.724076643
PGA_15,0.690799598,0.715626396,0.740074034,0.763798917,0.786713661,0.808634631
PGA_16,0.775959923,0.796843386,0.817022224,0.836229168,0.854418025,0.871472092
PGA_17,0.842259676,0.858939693,0.874772289,0.889570336,0.903326339,0.915982629
PGA_18,0.891646029,0.904412119,0.916327454,0.927274293,0.937273504,0.946310585
PGA_19,0.927120825,0.93655204,0.945215552,0.953046248,0.960081305,0.966332844
