,MSLB=No,MSLB=No,MSLB=No,MSLB=Yes,MSLB=Yes,MSLB=Yes
,Explosion,Steam pipe break,Overcurrent,Explosion,Steam pipe break,Overcurrent
PGA_00,0,0,0,0.646,0,0
PGA_01,0,0.045802235,0,0.646,0.045802235,0
PGA_02,0,0.290714844,0,0.646,0.290714844,0
PGA_03,0,0.5450015,0,0.646,0.5450015,0
PGA_04,1e-05,0.72052405,0,0.64601,0.72052405,0
PGA_05,1e-05,0.828946831,0,0.64601,0.828946831,0
PGA_06,5e-05,0.894119709,0,0.64605,0.894119709,0
PGA_07,0.00017,0.933362201,0,0.64617,0.933362201,0
PGA_08,0.0002,0.957292466,0,0.6462,0.957292466,0
PGA_09,0.00038,0.97213102,0,0.64638,0.97213102,0
PGA_10,0.00052,0.98149747,4e-05,0.64652,0.98149747,4e-05
PGA_11,0.00107,0.987515129,0.00018,0.64707,0.987515129,0.00018
PGA_12,0.0015,0.991447327,0.00032,0.6475,0.991447327,0.00032
PGA_13,0.00212,0.994058208,0.00072,0.64812,0.994058208,0.00072
PGA_14,0.00327,0.99581793,0.00107,0.64927,0.99581793,0.00107
PGA_15,0.00435,0.997020675,0.00216,0.65035,0.997020675,0.00216
PGA_16,0.00597,0.99785352,0.00279,0.65197,0.99785352,0.00279
PGA_17,0.00798,0.99843728,0.00604,0.65398,0.99843728,0.00604
PGA_18,0.01082,0.998851119,0.01167,0.65682,0.998851119,0.01167
PGA_19,0.01584,0.999147624,0.01938,0.66184,0.999147624,0.01938
